小区名称,response_id,url,板块名称,区名
卓悦居,5011000015454,https://sh.ke.com/xiaoqu/5011000015454/,不夜城,静安
五月花都荟豪庭,5011000012622,https://sh.ke.com/xiaoqu/5011000012622/,不夜城,静安
中海万锦城(三期),5011102208565,https://sh.ke.com/xiaoqu/5011102208565/,不夜城,静安
中海万锦城(二期),5011000003698,https://sh.ke.com/xiaoqu/5011000003698/,不夜城,静安
苏河融景,5011000020325,https://sh.ke.com/xiaoqu/5011000020325/,不夜城,静安
汉中小区,5011000017330,https://sh.ke.com/xiaoqu/5011000017330/,不夜城,静安
越秀苑,5011000015773,https://sh.ke.com/xiaoqu/5011000015773/,不夜城,静安
天道俪晶国际公寓,5011000002859,https://sh.ke.com/xiaoqu/5011000002859/,不夜城,静安
紫兰苑,5011000017650,https://sh.ke.com/xiaoqu/5011000017650/,不夜城,静安
中兴财富国际公寓,5011000016269,https://sh.ke.com/xiaoqu/5011000016269/,不夜城,静安
东方莱茵,5011000018211,https://sh.ke.com/xiaoqu/5011000018211/,不夜城,静安
和泰花园,5011000015575,https://sh.ke.com/xiaoqu/5011000015575/,不夜城,静安
北美公寓,5011000016678,https://sh.ke.com/xiaoqu/5011000016678/,不夜城,静安
中海万锦城(一期),5011000012676,https://sh.ke.com/xiaoqu/5011000012676/,不夜城,静安
灵广花园,5011000017733,https://sh.ke.com/xiaoqu/5011000017733/,不夜城,静安
北方佳苑,5011000015535,https://sh.ke.com/xiaoqu/5011000015535/,不夜城,静安
金融街融府,5020026323582302,https://sh.ke.com/xiaoqu/5020026323582302/,不夜城,静安
中海万锦城(四期),5010201416871253,https://sh.ke.com/xiaoqu/5010201416871253/,不夜城,静安
三兴大楼,5011000016357,https://sh.ke.com/xiaoqu/5011000016357/,不夜城,静安
协和大厦,5011000017045,https://sh.ke.com/xiaoqu/5011000017045/,不夜城,静安
博苑公寓,5011000015192,https://sh.ke.com/xiaoqu/5011000015192/,不夜城,静安
芷江西路285弄,5011000006229,https://sh.ke.com/xiaoqu/5011000006229/,不夜城,静安
锦福公寓,5011000015222,https://sh.ke.com/xiaoqu/5011000015222/,不夜城,静安
安源小区,5011000016131,https://sh.ke.com/xiaoqu/5011000016131/,不夜城,静安
安丰小区,5011000017197,https://sh.ke.com/xiaoqu/5011000017197/,不夜城,静安
芷江小区,5011000013218,https://sh.ke.com/xiaoqu/5011000013218/,不夜城,静安
紫祥小区,5011000013886,https://sh.ke.com/xiaoqu/5011000013886/,不夜城,静安
芷江西路453弄,5011000008559,https://sh.ke.com/xiaoqu/5011000008559/,不夜城,静安
恒丰古北家苑,5011000015727,https://sh.ke.com/xiaoqu/5011000015727/,不夜城,静安
金峰大厦,5011000018000,https://sh.ke.com/xiaoqu/5011000018000/,不夜城,静安
联通国际大厦,5011000018186,https://sh.ke.com/xiaoqu/5011000018186/,不夜城,静安
苏家巷小区,5011000020300,https://sh.ke.com/xiaoqu/5011000020300/,不夜城,静安
凯成苑,5011000015091,https://sh.ke.com/xiaoqu/5011000015091/,不夜城,静安
宝丰大厦,5011000017488,https://sh.ke.com/xiaoqu/5011000017488/,不夜城,静安
富泉公寓,5011000014290,https://sh.ke.com/xiaoqu/5011000014290/,不夜城,静安
协诚中心大厦,5011000017101,https://sh.ke.com/xiaoqu/5011000017101/,不夜城,静安
卫茂大厦,5011000012384,https://sh.ke.com/xiaoqu/5011000012384/,不夜城,静安
都荟贤居,5011102208471,https://sh.ke.com/xiaoqu/5011102208471/,不夜城,静安
沪太家具大厦,5011000001925,https://sh.ke.com/xiaoqu/5011000001925/,不夜城,静安
长安大厦,5011000017191,https://sh.ke.com/xiaoqu/5011000017191/,不夜城,静安
华盛大楼,5011000017796,https://sh.ke.com/xiaoqu/5011000017796/,不夜城,静安
蕃瓜弄小区,5011000017298,https://sh.ke.com/xiaoqu/5011000017298/,不夜城,静安
静安天御,5020041121941673,https://sh.ke.com/xiaoqu/5020041121941673/,不夜城,静安
一天下大厦,5011000015560,https://sh.ke.com/xiaoqu/5011000015560/,不夜城,静安
嘉里不夜城,5011000018189,https://sh.ke.com/xiaoqu/5011000018189/,不夜城,静安
企业公馆,5011102208256,https://sh.ke.com/xiaoqu/5011102208256/,不夜城,静安
中山家具大厦,5011000014186,https://sh.ke.com/xiaoqu/5011000014186/,不夜城,静安
共和新路970弄,5011000006456,https://sh.ke.com/xiaoqu/5011000006456/,不夜城,静安
灵广大厦,5011000015558,https://sh.ke.com/xiaoqu/5011000015558/,不夜城,静安
新鑫公寓,5011000017764,https://sh.ke.com/xiaoqu/5011000017764/,不夜城,静安
合兴小区,5011000013935,https://sh.ke.com/xiaoqu/5011000013935/,不夜城,静安
永兴路973弄,5011000008453,https://sh.ke.com/xiaoqu/5011000008453/,不夜城,静安
华舟公寓,5011000005548,https://sh.ke.com/xiaoqu/5011000005548/,不夜城,静安
中兴路1385弄,5011000008124,https://sh.ke.com/xiaoqu/5011000008124/,不夜城,静安
恒丰路64弄,5011000006866,https://sh.ke.com/xiaoqu/5011000006866/,不夜城,静安
广兴公寓,5011000016573,https://sh.ke.com/xiaoqu/5011000016573/,不夜城,静安
中华新路893弄,5011000006369,https://sh.ke.com/xiaoqu/5011000006369/,不夜城,静安
中房华东大厦,5011000016294,https://sh.ke.com/xiaoqu/5011000016294/,不夜城,静安
三兴小区,5011000001913,https://sh.ke.com/xiaoqu/5011000001913/,不夜城,静安
芷江西路270弄,5011000004738,https://sh.ke.com/xiaoqu/5011000004738/,不夜城,静安
共和大厦(公寓),5011000018253,https://sh.ke.com/xiaoqu/5011000018253/,不夜城,静安
统北村,5011000003282,https://sh.ke.com/xiaoqu/5011000003282/,不夜城,静安
长安路480弄,5011102208211,https://sh.ke.com/xiaoqu/5011102208211/,不夜城,静安
普铁新村,5011000002356,https://sh.ke.com/xiaoqu/5011000002356/,不夜城,静安
大统路1033弄,5011000007873,https://sh.ke.com/xiaoqu/5011000007873/,不夜城,静安
展望大厦,5011000018307,https://sh.ke.com/xiaoqu/5011000018307/,不夜城,静安
兴新小区,5011000005836,https://sh.ke.com/xiaoqu/5011000005836/,不夜城,静安
芷江西路254号,5011000020299,https://sh.ke.com/xiaoqu/5011000020299/,不夜城,静安
华龙大酒店,5011000018009,https://sh.ke.com/xiaoqu/5011000018009/,不夜城,静安
中华新路640号,5011000002355,https://sh.ke.com/xiaoqu/5011000002355/,不夜城,静安
金甸大楼,5011000013359,https://sh.ke.com/xiaoqu/5011000013359/,不夜城,静安
长安路480号,5011000005821,https://sh.ke.com/xiaoqu/5011000005821/,不夜城,静安
